Number,Title,Photo,Year,Artist,Region,Category,Description,image,num,RGB_1,BCT_1,PCT_1,RGB_2,BCT_2,PCT_2,RGB_3,BCT_3,PCT_3,RGB_4,BCT_4,PCT_4,RGB_5,BCT_5,PCT_5,RGB_6,BCT_6,PCT_6,pct_black,pct_white,pct_gray,pct_red,pct_green,pct_yellow,pct_blue,pct_brown,pct_orange,pct_pink,pct_purple,palette,dominant_bct
37,Tierra Y Excrementos,,1932,Maruja Mallo,es,Warnings,https://www.museoreinasofia.es/colecciones/obra/tierra-y-excrementos,37.jpg,37,"(23, 19, 8)",black,32.8,"(77, 88, 57)",green,21.6,"(47, 53, 29)",black,18.3,"(105, 118, 83)",green,16.2,"(143, 160, 129)",green,7.7,"(193, 218, 198)",white,3.4,51.1,3.4,0,0,45.5,0,0,0,0,0,0,black 51%; green 46%; white 3%,black
38,Retrato de Roma,,1933,Oscar Dominguez,es,Arts & entertainment,https://historia-arte.com/obras/retrato-de-roma,38.jpg,38,"(91, 34, 26)",red,27.2,"(23, 6, 8)",black,27.2,"(123, 85, 56)",brown,13.7,"(210, 18, 51)",red,13.2,"(191, 135, 90)",orange,9.8,"(217, 177, 141)",orange,9,27.2,0,0,40.5,0,0,0,13.7,18.7,0,0,red 40%; black 27%; orange 19%; brown 14%,red
39,Máquina de coser electro-sexual,,1934,Oscar Dominguez,es,Unknown,https://thesketchline.com/en/pictures/electro-sexual-sewing-machine/,39.jpg,39,"(5, 5, 10)",black,44.2,"(15, 37, 42)",black,24.1,"(61, 39, 31)",black,15.5,"(114, 89, 67)",brown,7,"(225, 158, 102)",orange,6.5,"(243, 219, 178)",white,2.5,83.9,2.5,0,0,0,0,0,7,6.5,0,0,black 84%; brown 7%; orange 7%,black
40,Sign I,,2003,Pablo Palazuelo,es,physical description,https://www.guggenheim-bilbao.eus/en/the-collection/works/sign-i,40.jpg,40,"(92, 99, 114)",gray,60.9,"(103, 108, 124)",gray,17.4,"(78, 89, 106)",gray,15.4,"(209, 10, 18)",red,4.1,"(172, 49, 54)",red,1.3,"(214, 152, 142)",pink,0.8,0,0,93.7,5.5,0,0,0,0,0,0.8,0,gray 94%; red 5%,gray
41,Allegory of music,,1946,Jose Manuel Capuletti,es,Arts & entertainment,https://www.aristos.org/capulett.htm,41.jpg,41,"(44, 37, 35)",black,39.1,"(219, 224, 196)",white,16.6,"(103, 72, 48)",brown,14.5,"(125, 172, 196)",gray,13.1,"(51, 91, 144)",blue,9.3,"(177, 144, 89)",yellow,7.4,39.1,16.6,13.1,0,0,7.4,9.3,14.5,0,0,0,black 39%; white 17%; brown 14%; gray 13%; blue 9%; yellow 7%,black
42,Dama en la playa,,1953,Jose Manuel Capuletti,es,Unknown,https://www.aristos.org/capulett.htm,42.jpg,42,"(234, 193, 123)",yellow,24.6,"(133, 204, 203)",gray,23.4,"(93, 165, 174)",gray,19.3,"(200, 156, 93)",orange,14.1,"(16, 15, 15)",black,11.3,"(86, 59, 40)",brown,7.4,11.3,0,42.6,0,0,24.6,0,7.4,14.1,0,0,gray 43%; yellow 25%; orange 14%; black 11%; brown 7%,gray
43,Pilar,,1955,Jose Manuel Capuletti,es,Life experiences,https://www.aristos.org/capulett.htm,43.jpg,43,"(162, 181, 205)",purple,28.8,"(234, 210, 180)",white,23.7,"(176, 112, 63)",orange,13,"(32, 25, 29)",black,12.3,"(122, 64, 43)",brown,11.5,"(223, 185, 144)",orange,10.8,12.3,23.7,0,0,0,0,0,11.5,23.8,0,28.8,purple 29%; orange 24%; white 24%; black 12%; brown 11%,purple
44,Materia Viva,,2013,Requena Nozal,es,Unknown,https://www.requenanozal.com/biography-requena-nozal,44.jpg,44,"(58, 117, 176)",blue,26.5,"(35, 33, 35)",black,22.6,"(72, 144, 128)",green,15.6,"(42, 96, 122)",blue,13.6,"(132, 144, 159)",purple,11.2,"(136, 120, 87)",brown,10.4,22.6,0,0,0,15.6,0,40.1,10.4,0,0,11.2,blue 40%; black 23%; green 16%; purple 11%; brown 10%,blue
45,Celeste I,,2006,Requena Nozal,es,Unknown,https://www.requenanozal.com/biography-requena-nozal,45.jpg,45,"(201, 206, 206)",gray,26.8,"(124, 173, 206)",blue,20.5,"(79, 53, 53)",brown,18.3,"(166, 127, 118)",brown,13.5,"(186, 81, 58)",brown,11.7,"(216, 180, 118)",yellow,9.2,0,0,26.8,0,0,9.2,20.5,43.5,0,0,0,brown 44%; gray 27%; blue 21%; yellow 9%,brown
46,Serie Micra,,2016,Requena Nozal,es,Unknown,https://www.requenanozal.com/biography-requena-nozal,46.jpg,46,"(251, 63, 4)",orange,36.8,"(35, 24, 27)",black,34.6,"(211, 45, 7)",red,9.9,"(92, 28, 23)",red,9.1,"(155, 38, 15)",red,8.2,"(224, 119, 141)",pink,1.3,34.6,0,0,27.2,0,0,0,0,36.8,1.3,0,orange 37%; black 35%; red 27%,orange
47,Fusión,,2014,Requena Nozal,es,Unknown,https://www.requenanozal.com/biography-requena-nozal,47.jpg,47,"(238, 25, 49)",red,35.7,"(244, 41, 65)",red,34.6,"(36, 27, 41)",black,13.6,"(179, 40, 67)",red,6,"(55, 42, 69)",purple,5.2,"(114, 25, 45)",red,5,13.6,0,0,81.3,0,0,0,0,0,0,5.2,red 81%; black 14%; purple 5%,red
48,Homenaje a Diana III,,2014,Requena Nozal,es,Unknown,https://www.requenanozal.com/biography-requena-nozal,48.jpg,48,"(229, 46, 24)",red,51,"(234, 234, 205)",white,21.6,"(40, 26, 30)",black,13.7,"(159, 39, 31)",red,6.7,"(177, 180, 202)",purple,3.7,"(81, 188, 225)",blue,3.3,13.7,21.6,0,57.7,0,0,3.3,0,0,0,3.7,red 58%; white 22%; black 14%; purple 4%; blue 3%,red
49,Homless Kid,,2006,Carmen Delaco,es,Politics & ideology,https://www.wikiart.org/en/carmen-delaco/homless-kid-2006,49.jpeg,49,"(162, 176, 185)",gray,22.9,"(137, 148, 156)",gray,19.1,"(190, 204, 213)",white,15.9,"(109, 117, 122)",gray,15.6,"(79, 83, 88)",gray,15.1,"(46, 50, 55)",black,11.4,11.4,15.9,72.7,0,0,0,0,0,0,0,0,gray 73%; white 16%; black 11%,gray
50,Animal Woman,,2012,Carmen Delaco,es,Identity ,https://www.artera.ae/profiles/carmendelaco,50.jpg,50,"(193, 193, 193)",gray,24.4,"(8, 8, 8)",black,20.9,"(162, 162, 162)",gray,19,"(117, 117, 117)",gray,16.2,"(69, 69, 69)",gray,10.7,"(234, 234, 234)",white,8.8,20.9,8.8,70.3,0,0,0,0,0,0,0,0,gray 70%; black 21%; white 9%,gray
